model,max_epoch,use_swapout,use_residual,swapout_p1,swapout_p2
pixel_rnn,20,False,False,0.8,0.2
train l: 0.33173277974128723, test l: 0.26983097195625305
train l: 0.27063751220703125, test l: 0.2679082155227661
train l: 0.268555223941803, test l: 0.2674616575241089
train l: 0.26725220680236816, test l: 0.26571300625801086
train l: 0.2663717269897461, test l: 0.26751118898391724
train l: 0.26567670702934265, test l: 0.265079528093338
train l: 0.2653574049472809, test l: 0.2663058936595917
train l: 0.26494234800338745, test l: 0.26754939556121826
train l: 0.2645938992500305, test l: 0.2644709646701813
train l: 0.26446276903152466, test l: 0.26601436734199524
train l: 0.26430559158325195, test l: 0.26347896456718445
train l: 0.2641002833843231, test l: 0.2630709409713745
train l: 0.264060914516449, test l: 0.2630486488342285
train l: 0.2639431059360504, test l: 0.2637231647968292
train l: 0.2638907730579376, test l: 0.26365864276885986
train l: 0.26376065611839294, test l: 0.26343610882759094
train l: 0.2637064456939697, test l: 0.263004332780838
train l: 0.2636207044124603, test l: 0.2633223831653595
train l: 0.26363351941108704, test l: 0.263049840927124
train l: 0.2636190950870514, test l: 0.26277172565460205
