model,max_epoch,use_swapout,use_residual,swapout_p1,swapout_p2
pixel_rnn,20,False,True,0.8,0.2
train l: 0.3508026599884033, test l: 0.27284419536590576
train l: 0.27306967973709106, test l: 0.2691667377948761
train l: 0.26955705881118774, test l: 0.2664848268032074
train l: 0.2675894498825073, test l: 0.2655673325061798
train l: 0.2664653956890106, test l: 0.267648309469223
train l: 0.26579388976097107, test l: 0.26480263471603394
train l: 0.2654326260089874, test l: 0.2659500539302826
train l: 0.2651185393333435, test l: 0.2654440402984619
train l: 0.264779269695282, test l: 0.26413634419441223
train l: 0.2646472752094269, test l: 0.2660401463508606
train l: 0.26452475786209106, test l: 0.2642943263053894
train l: 0.2643248438835144, test l: 0.26348981261253357
train l: 0.2642952501773834, test l: 0.2634793817996979
train l: 0.26416459679603577, test l: 0.2642194926738739
train l: 0.2641199231147766, test l: 0.2642800807952881
train l: 0.26399287581443787, test l: 0.2636755108833313
train l: 0.2639320492744446, test l: 0.26338401436805725
train l: 0.2638464868068695, test l: 0.26347649097442627
train l: 0.26383379101753235, test l: 0.2632583975791931
train l: 0.2638263404369354, test l: 0.26321399211883545
